client_id,application_date,age,annual_income,loan_amount,term_months,interest_rate,loan_purpose,employment_status,credit_score,dti,default
38,2022-02-01,23,42488.86,18344.94,48,0.0731,debt_consolidation,employed,810,5.02,0
39,2023-09-29,57,21268.86,14225.45,48,0.1162,car,student,818,6.73,0
40,2023-09-12,27,35687.48,10600.27,36,0.0881,home_improvement,self_employed,615,4.33,0
41,2023-12-24,41,47890.97,14527.92,48,0.089,debt_consolidation,retired,613,4.8,1
42,2023-03-05,29,53314.24,16846.64,36,0.0692,home_improvement,unemployed,684,3.4,0
43,2022-01-02,59,26352.32,12694.99,60,0.1323,home_improvement,self_employed,656,7.08,0
44,2023-05-22,38,41345.98,13371.62,24,0.1212,small_business,unemployed,660,7.0,0
45,2023-04-07,24,36810.44,10501.18,36,0.0864,debt_consolidation,employed,697,1.0,0
46,2022-07-02,45,33585.51,3979.29,36,0.0706,debt_consolidation,self_employed,795,3.83,0
47,2022-02-28,34,39272.03,10953.82,24,0.0693,home_improvement,employed,761,6.21,1
48,2022-10-16,29,37615.97,7937.32,48,0.094,debt_consolidation,self_employed,660,3.43,1
49,2022-04-06,46,41496.89,7956.47,60,0.1016,home_improvement,employed,723,1.68,1
50,2023-05-20,22,52300.6,20603.01,36,0.0641,debt_consolidation,employed,569,1.61,0
51,2023-09-09,40,44409.53,17709.34,24,0.0527,debt_consolidation,employed,688,4.87,0
52,2022-07-30,48,38727.1,1839.01,36,0.0924,small_business,self_employed,665,1.0,0
53,2023-04-03,67,57375.5,5490.73,48,0.1159,small_business,student,737,1.0,0
54,2023-07-25,27,48319.16,9818.63,36,0.0922,home_improvement,student,717,1.12,1
55,2022-01-29,64,33891.22,8156.21,12,0.0825,small_business,employed,698,2.81,0
56,2022-07-22,28,20394.56,13904.51,36,0.0561,education,employed,707,8.72,0
57,2022-04-22,67,23146.03,4538.49,12,0.071,car,employed,653,1.0,1
58,2022-12-31,55,46198.79,17751.19,48,0.1164,other,employed,738,1.0,0
59,2022-05-03,34,27436.25,11735.97,24,0.0524,education,unemployed,707,4.62,1
60,2023-12-14,37,22903.33,9956.93,36,0.1432,home_improvement,retired,670,3.38,1
61,2022-10-30,56,25902.98,11914.08,48,0.0926,car,employed,685,4.64,0
62,2023-11-28,60,26751.39,9494.95,12,0.0424,other,employed,730,1.0,0
63,2023-07-24,24,45207.77,1000.0,24,0.1051,debt_consolidation,employed,736,1.0,1
64,2022-09-12,22,33119.1,12071.56,24,0.1035,debt_consolidation,employed,659,5.12,0
65,2022-08-17,26,18531.5,10075.52,24,0.0769,debt_consolidation,unemployed,626,5.63,0
66,2022-12-07,62,35372.54,6273.26,24,0.1182,debt_consolidation,self_employed,652,2.33,1
67,2023-07-19,24,37667.19,18584.58,60,0.0714,debt_consolidation,unemployed,655,5.33,1
68,2022-12-08,49,29247.96,16016.63,48,0.109,small_business,employed,687,2.63,1
69,2022-12-04,38,48870.62,26633.14,48,0.089,home_improvement,employed,751,6.7,0
70,2022-09-15,46,29948.73,17008.97,60,0.0815,debt_consolidation,employed,651,5.24,0
71,2022-03-01,64,48300.05,8139.39,24,0.1303,small_business,employed,703,1.0,1
72,2022-08-17,54,42161.39,6565.26,24,0.1195,car,unemployed,668,3.22,0
73,2022-12-06,30,46119.27,9034.17,24,0.0568,car,unemployed,681,2.89,1
74,2023-03-08,56,21817.39,8000.23,48,0.1014,car,unemployed,698,3.17,1
75,2022-04-28,34,36179.72,12652.7,36,0.1468,small_business,employed,752,3.88,0
76,2022-01-26,51,34366.06,2767.22,24,0.1311,debt_consolidation,unemployed,694,1.29,0
77,2022-12-06,68,17935.92,15883.72,24,0.0627,debt_consolidation,employed,525,7.22,1
78,2023-10-24,35,48260.73,12547.18,36,0.1379,debt_consolidation,employed,668,1.0,1
79,2022-06-20,28,25191.19,15194.79,36,0.1179,education,employed,774,5.05,0
80,2022-09-10,34,27685.19,5135.12,48,0.0585,home_improvement,employed,748,3.22,1
81,2023-06-16,43,22840.21,13480.13,24,0.0962,debt_consolidation,unemployed,727,10.21,1
82,2022-12-15,60,43414.24,19795.06,60,0.1043,debt_consolidation,self_employed,750,6.65,0
83,2022-10-31,41,16688.84,6836.96,36,0.0577,home_improvement,employed,729,5.15,0
84,2023-01-12,36,42414.5,6672.87,48,0.1112,home_improvement,employed,749,1.0,0
85,2022-12-17,65,47534.17,16271.74,60,0.1629,car,employed,612,5.59,1
86,2023-07-27,38,41446.14,6185.69,60,0.131,small_business,employed,676,1.07,0
87,2022-05-31,67,43551.54,10600.3,12,0.0949,other,employed,688,1.0,0
88,2022-08-18,44,44114.56,20854.4,24,0.0816,debt_consolidation,self_employed,683,7.12,1
89,2022-12-02,46,23606.91,6757.99,36,0.0999,home_improvement,employed,645,6.09,0
90,2023-12-04,45,52216.82,21266.65,36,0.0607,debt_consolidation,unemployed,688,6.36,0
91,2022-10-02,65,29479.08,9985.31,36,0.0757,education,employed,577,8.82,1
92,2023-12-16,61,34203.35,5272.79,60,0.0311,car,employed,707,1.0,0
93,2022-07-23,49,31008.35,15622.22,12,0.103,debt_consolidation,employed,639,5.11,1
94,2022-08-16,35,40898.51,12646.49,36,0.0799,education,self_employed,549,1.95,0
95,2022-09-26,65,28543.55,12079.08,24,0.1085,small_business,employed,680,3.3,0
96,2022-06-28,21,35802.99,7387.69,48,0.0936,debt_consolidation,employed,772,5.27,0
97,2022-09-14,45,20175.87,12602.72,60,0.0597,debt_consolidation,retired,565,5.28,1
98,2023-11-12,27,48975.98,1000.0,36,0.096,debt_consolidation,employed,665,1.0,1
99,2023-05-30,29,43048.89,13312.59,12,0.0686,home_improvement,retired,582,6.23,0
100,2022-01-08,44,31492.88,19783.5,48,0.1397,small_business,employed,695,8.31,1
101,2022-12-02,21,29370.21,1407.43,36,0.0647,home_improvement,unemployed,732,1.0,1
102,2023-09-11,64,42735.54,9559.35,24,0.0759,home_improvement,employed,631,2.52,0
103,2022-02-09,28,26512.48,6752.16,48,0.0596,small_business,employed,654,1.0,0
104,2023-03-07,44,36504.38,2933.68,60,0.057,car,employed,671,1.0,1
105,2023-12-01,31,48936.79,1000.0,36,0.0909,home_improvement,employed,754,1.0,0
106,2022-11-26,37,25264.91,4914.98,36,0.0526,car,unemployed,596,2.62,0
107,2022-08-31,28,39423.21,10545.74,24,0.0844,other,retired,652,6.96,0
108,2022-06-14,55,38788.7,18894.82,36,0.1029,debt_consolidation,employed,774,7.33,0
109,2023-04-25,55,33831.96,2863.71,36,0.0773,debt_consolidation,employed,636,1.0,1
110,2022-10-10,53,28954.52,13766.36,24,0.0239,debt_consolidation,employed,656,5.92,0
111,2022-04-05,25,49577.56,13317.85,12,0.13,small_business,self_employed,690,3.09,1
112,2022-05-11,62,27829.18,22031.78,24,0.098,car,employed,819,13.23,0
113,2022-07-28,59,13255.53,15426.19,24,0.0984,debt_consolidation,employed,612,13.07,0
114,2023-06-06,61,42686.4,15771.6,36,0.083,other,self_employed,725,4.69,0
115,2023-06-25,48,20584.36,16195.8,36,0.1143,other,employed,608,9.97,0
116,2023-10-22,27,43302.57,6454.61,36,0.1181,other,employed,619,1.0,1
117,2023-08-01,29,51018.84,8563.06,24,0.1211,debt_consolidation,employed,649,1.0,0
118,2023-04-26,28,42557.0,18701.21,36,0.0981,other,self_employed,707,4.82,1
119,2023-06-08,32,47856.94,1000.0,48,0.0487,debt_consolidation,employed,647,1.58,0
120,2023-06-09,54,59240.59,7906.13,36,0.1022,debt_consolidation,retired,687,1.0,1
121,2022-12-30,53,46601.13,4015.14,60,0.098,car,employed,636,1.0,1
122,2023-02-27,68,38966.88,13405.46,36,0.0735,car,employed,684,2.79,1
123,2023-09-06,43,54607.38,9470.35,36,0.0659,debt_consolidation,unemployed,602,1.0,1
124,2023-11-16,44,56057.31,15755.82,12,0.1063,home_improvement,employed,603,3.84,0
125,2022-08-01,57,56225.26,11346.03,36,0.0877,small_business,employed,649,3.24,0
126,2022-06-18,55,29094.28,2723.45,48,0.0783,car,employed,716,2.46,0
127,2022-07-27,64,18751.78,3000.79,60,0.1402,car,employed,691,3.49,1
128,2023-03-03,60,28361.69,11963.71,60,0.1101,debt_consolidation,self_employed,633,4.86,1
129,2023-07-28,42,43443.7,7373.19,24,0.103,other,employed,612,2.84,1
130,2023-06-05,47,36909.91,8804.2,36,0.1266,debt_consolidation,self_employed,742,3.24,0
131,2023-09-29,55,32522.23,17630.49,36,0.0999,car,self_employed,761,1.36,1
132,2023-11-05,21,41725.78,16554.2,36,0.0689,debt_consolidation,self_employed,710,1.76,0
133,2022-01-19,55,17350.34,22786.4,24,0.0783,other,unemployed,701,14.27,1
134,2023-05-01,57,36694.03,10101.99,48,0.112,debt_consolidation,self_employed,551,3.41,1
135,2022-03-28,67,48421.49,8153.12,60,0.1087,car,employed,715,2.56,0
136,2023-06-14,34,41591.79,14509.13,36,0.1034,car,employed,775,5.49,0
137,2022-08-25,23,43301.72,8635.23,24,0.0559,other,employed,744,3.74,0
138,2022-06-23,21,54168.47,8831.63,12,0.1144,debt_consolidation,unemployed,741,2.33,0
139,2022-04-14,25,34206.28,10787.39,36,0.088,home_improvement,unemployed,580,4.77,1
140,2022-08-25,46,27162.9,21916.49,24,0.108,debt_consolidation,employed,637,12.74,1
141,2023-09-30,34,49274.18,16223.79,60,0.0651,other,retired,671,4.77,0
142,2023-07-15,59,49053.45,16852.92,36,0.149,home_improvement,employed,637,4.05,0
143,2022-04-12,47,41699.5,21647.13,36,0.0974,home_improvement,employed,610,7.14,1
144,2023-08-09,29,33075.55,17415.2,36,0.0775,car,employed,705,7.95,0
145,2022-06-20,35,35016.56,5211.57,12,0.1094,debt_consolidation,employed,739,4.88,1
146,2022-05-18,35,19678.72,17324.29,60,0.1157,debt_consolidation,self_employed,596,8.37,1
147,2023-08-20,46,48355.36,18085.53,36,0.109,home_improvement,employed,742,1.21,0
148,2023-11-09,62,47931.82,15911.19,60,0.0602,other,employed,693,4.4,0
149,2022-02-07,33,19259.81,10827.35,36,0.1243,car,student,777,3.85,0
150,2023-01-26,52,45411.59,15277.99,48,0.0797,other,self_employed,727,3.54,0
151,2023-09-09,59,39849.22,11878.56,12,0.0895,debt_consolidation,employed,687,7.2,1
152,2023-02-21,69,22736.31,6131.47,36,0.0237,other,employed,688,3.24,0
153,2022-01-24,52,20528.0,7622.2,48,0.0761,car,employed,680,4.48,0
154,2023-03-08,24,39481.92,16222.34,48,0.0759,car,student,789,4.13,1
155,2022-10-14,50,30227.55,6565.08,48,0.1035,car,retired,716,5.62,0
156,2022-03-23,57,56839.39,7130.68,24,0.0743,education,self_employed,657,2.35,0
157,2022-09-12,43,46431.18,16520.31,60,0.0414,education,employed,714,3.33,0
158,2023-06-19,59,40684.32,12802.73,60,0.0973,car,employed,707,6.74,0
159,2022-11-23,65,41276.95,15463.16,12,0.0825,car,employed,654,4.86,0
160,2023-05-13,35,50970.41,4625.89,60,0.0681,debt_consolidation,employed,630,1.0,1
161,2023-08-07,63,45158.22,15296.58,24,0.0926,debt_consolidation,employed,750,1.0,1
162,2023-09-22,49,40997.2,8039.83,36,0.0366,debt_consolidation,self_employed,664,2.63,0
163,2023-02-03,56,23236.87,5898.7,24,0.1086,home_improvement,employed,660,2.14,1
164,2023-07-04,33,71743.36,8967.93,60,0.0845,home_improvement,employed,714,1.0,0
165,2022-06-05,52,21761.81,20172.39,12,0.082,education,self_employed,648,10.38,1
166,2022-05-07,27,31249.49,9813.28,36,0.1186,education,employed,693,1.0,0
167,2022-10-04,42,15143.26,25208.34,36,0.0739,debt_consolidation,unemployed,657,25.09,1
168,2022-01-27,48,41465.58,1000.0,24,0.0978,small_business,employed,525,1.0,1
169,2023-07-22,22,36813.33,2722.33,36,0.0861,debt_consolidation,employed,703,2.22,1
170,2023-09-29,62,44183.32,19945.11,12,0.1865,education,employed,695,4.98,1
171,2022-01-21,65,14131.21,21453.63,48,0.1047,debt_consolidation,student,701,12.73,0
172,2023-06-10,26,48354.87,6819.26,60,0.0558,education,self_employed,555,1.4,1
173,2022-08-29,48,25310.78,12413.36,48,0.1426,car,employed,598,6.12,1
174,2022-04-17,48,33211.94,16273.14,48,0.1213,car,employed,749,4.79,1
175,2023-08-05,64,46178.86,10623.75,24,0.0913,education,self_employed,684,5.66,0
176,2023-12-17,64,38135.2,12899.2,24,0.0769,debt_consolidation,employed,566,7.64,1
177,2023-06-24,40,38983.31,12065.6,36,0.0502,debt_consolidation,student,685,4.29,0
178,2022-08-09,50,44590.15,3111.32,12,0.1029,home_improvement,student,585,1.68,1
179,2023-09-06,31,40145.49,9932.03,60,0.0697,small_business,self_employed,645,1.0,1
180,2022-03-08,48,30906.71,12074.19,12,0.0636,car,student,695,2.37,1
181,2023-09-28,45,33002.37,12618.73,60,0.1133,debt_consolidation,employed,695,3.28,0
182,2022-08-30,59,37542.54,1616.96,12,0.1363,car,employed,740,4.52,0
183,2023-06-08,53,24253.33,16522.16,48,0.0757,home_improvement,employed,707,7.07,1
184,2023-01-31,21,46952.1,12776.96,24,0.1142,car,employed,711,5.9,0
185,2022-07-22,47,38463.85,5667.68,12,0.0964,small_business,student,657,1.0,0
186,2022-08-08,33,35897.32,22794.39,48,0.1008,car,employed,628,5.69,1
187,2023-11-22,61,49309.96,9920.49,24,0.0654,debt_consolidation,retired,682,1.41,0
188,2023-02-23,23,33558.64,10310.12,48,0.0836,debt_consolidation,unemployed,741,2.63,0
189,2022-08-14,59,32810.95,15850.26,36,0.0571,car,employed,729,4.34,0
190,2022-08-02,26,29184.45,23304.01,12,0.0533,education,employed,667,12.7,0
191,2022-12-25,28,39116.8,16086.24,60,0.1055,debt_consolidation,employed,676,4.82,0
192,2023-05-16,47,38701.4,16956.66,36,0.0743,other,employed,625,4.86,1
193,2023-04-16,29,27004.59,5990.27,48,0.0625,debt_consolidation,employed,749,2.71,0
194,2022-01-19,57,32867.67,12521.76,36,0.0537,home_improvement,employed,776,6.4,0
195,2022-12-17,53,27084.77,8806.43,36,0.0446,debt_consolidation,employed,706,3.95,0
196,2022-11-11,62,26541.58,16224.78,24,0.0313,other,unemployed,581,7.94,1
197,2023-11-07,64,14241.23,16781.79,24,0.0933,small_business,employed,720,16.16,1
198,2022-08-02,44,32229.08,21799.38,36,0.02,debt_consolidation,employed,779,5.98,0
199,2023-05-07,35,14573.44,1000.0,36,0.1041,other,unemployed,612,1.0,1
200,2022-08-10,52,29446.21,8216.53,24,0.1039,debt_consolidation,employed,730,3.56,0
201,2022-09-26,52,27647.66,19801.49,36,0.087,education,employed,668,7.18,1
202,2022-03-25,44,47622.74,3590.82,36,0.0922,small_business,unemployed,754,1.0,1
203,2022-02-13,61,22820.78,16833.91,12,0.0814,education,retired,610,6.64,1
204,2023-08-11,69,25865.76,18804.0,24,0.0968,other,retired,653,6.99,0
205,2022-06-10,69,30421.71,11829.96,36,0.0964,small_business,employed,585,6.89,1
206,2023-01-12,32,28038.28,3471.21,12,0.129,other,employed,700,1.0,0
207,2022-11-04,59,51431.06,11270.88,24,0.136,debt_consolidation,employed,713,1.71,1
208,2022-04-27,22,21337.19,20752.09,12,0.1351,debt_consolidation,student,700,10.01,1
209,2023-08-25,23,30447.15,21234.1,60,0.0661,home_improvement,employed,649,6.59,0
210,2022-12-05,69,38984.78,13247.28,48,0.1127,education,employed,653,2.0,1
211,2023-10-12,57,45574.2,6136.57,12,0.1052,home_improvement,retired,660,1.0,1
212,2023-08-30,69,30437.1,22430.38,12,0.0705,debt_consolidation,student,733,7.43,0
213,2023-10-29,37,12000.0,16925.54,48,0.0634,small_business,self_employed,592,16.68,1
214,2023-12-08,69,33198.75,6530.94,36,0.0787,other,employed,659,3.64,0
215,2022-11-21,22,51224.34,14055.11,48,0.0582,car,employed,591,3.12,1
216,2022-01-05,22,38386.25,13780.49,60,0.0483,debt_consolidation,unemployed,655,2.29,1
217,2023-02-25,48,37837.01,8179.23,36,0.1049,debt_consolidation,employed,679,1.51,1
218,2022-03-12,43,22243.78,14088.64,24,0.091,debt_consolidation,employed,806,6.39,0
219,2022-04-14,57,21011.94,18637.12,48,0.0908,education,employed,639,9.32,0
220,2022-02-25,52,35216.5,10222.5,60,0.1178,other,retired,741,2.72,1
221,2022-11-03,53,17883.45,19249.61,36,0.0841,debt_consolidation,employed,577,14.69,1
222,2023-05-11,21,44376.35,1467.87,36,0.1149,home_improvement,self_employed,682,1.74,0
223,2022-06-19,39,24840.25,25309.6,24,0.0678,education,employed,682,15.41,1
224,2022-05-21,22,34704.11,12344.11,24,0.0676,debt_consolidation,employed,724,2.48,1
225,2022-02-03,64,12370.8,18438.13,48,0.0904,home_improvement,student,647,15.63,1
226,2022-12-22,46,30274.38,13311.67,60,0.1536,education,employed,632,4.54,1
227,2023-02-22,52,20769.67,7058.86,36,0.1286,small_business,self_employed,555,6.41,1
228,2022-02-22,26,12000.0,11781.74,48,0.1229,car,employed,699,7.56,0
229,2022-01-03,52,41502.11,1000.0,24,0.0488,education,employed,641,1.0,0
230,2022-11-26,24,54693.91,16130.32,24,0.0944,debt_consolidation,unemployed,741,2.86,1
231,2023-09-11,31,48553.68,13162.59,36,0.1146,debt_consolidation,unemployed,710,4.5,0
232,2023-09-03,37,43180.29,10850.66,24,0.1526,debt_consolidation,self_employed,751,3.86,0
233,2023-11-23,58,30030.55,16516.2,36,0.0395,car,employed,627,7.84,1
234,2023-10-08,44,44670.68,12225.14,24,0.1119,debt_consolidation,employed,692,4.26,0
235,2022-05-29,25,49686.24,15640.98,48,0.1219,debt_consolidation,retired,691,9.38,0
236,2023-05-21,54,36641.86,17773.9,48,0.1036,home_improvement,employed,650,9.39,0
237,2022-10-28,26,20787.68,8704.63,36,0.0495,home_improvement,unemployed,753,6.67,0
238,2022-05-13,42,29007.39,6987.54,24,0.0976,debt_consolidation,employed,726,1.92,0
239,2022-09-16,31,55432.36,1664.64,36,0.1029,debt_consolidation,retired,801,1.0,0
240,2022-10-03,68,34103.07,12735.36,60,0.0953,home_improvement,retired,721,6.78,0
241,2023-12-17,36,12000.0,14712.58,36,0.0695,debt_consolidation,employed,792,17.07,0
242,2022-03-02,53,17372.92,4058.31,12,0.0657,car,unemployed,790,1.1,0
243,2023-11-03,29,29906.62,20522.28,12,0.1037,education,employed,650,4.23,0
244,2022-05-27,26,47429.9,7065.99,24,0.0697,debt_consolidation,employed,591,1.0,1
245,2023-10-17,36,31722.53,1000.0,24,0.0704,debt_consolidation,employed,781,2.72,0
246,2023-10-28,49,47653.18,20968.94,48,0.0858,debt_consolidation,employed,721,8.0,0
247,2023-05-11,23,28686.05,1000.0,48,0.0948,debt_consolidation,employed,711,1.0,0
248,2023-09-15,40,12000.0,17785.07,24,0.1212,other,employed,653,18.42,1
249,2023-08-25,56,29101.27,16326.72,24,0.0541,car,employed,703,10.29,0
250,2023-07-15,39,39139.34,13917.32,24,0.0512,car,employed,741,8.29,0
251,2023-02-20,46,38143.4,8863.35,60,0.0785,education,employed,719,4.15,0
252,2022-05-11,23,19938.71,15016.78,36,0.036,debt_consolidation,employed,643,8.99,0
253,2023-12-24,39,30785.65,18290.91,36,0.1076,debt_consolidation,self_employed,772,6.26,1
254,2022-08-16,40,67216.09,6085.14,36,0.0302,small_business,self_employed,687,1.0,1
255,2022-04-04,52,20200.77,17858.24,36,0.1112,small_business,retired,720,9.05,0
256,2023-11-08,27,42928.68,17585.25,24,0.1233,car,employed,730,6.22,0
257,2023-09-13,61,12000.0,13758.31,24,0.0978,car,employed,807,13.48,0
258,2023-07-26,53,45365.5,8772.15,36,0.0343,education,self_employed,704,1.0,0
259,2022-04-08,60,24292.1,17612.74,36,0.0932,debt_consolidation,self_employed,676,10.95,0
260,2022-07-06,59,39825.06,15049.88,24,0.0661,debt_consolidation,employed,794,5.64,0
261,2023-08-16,38,19501.69,5904.24,12,0.0539,debt_consolidation,self_employed,746,4.15,0
262,2023-07-08,60,38490.23,9795.87,24,0.1074,car,employed,698,2.73,1
263,2023-10-25,21,24096.2,16914.33,36,0.113,debt_consolidation,employed,694,9.33,0
264,2023-03-01,31,26419.42,12687.48,36,0.1286,car,self_employed,562,5.06,1
265,2023-08-08,48,40303.83,18515.9,60,0.0815,education,employed,674,11.05,0
266,2023-06-23,45,29835.37,9950.12,12,0.0952,car,employed,595,8.57,1
267,2023-08-16,43,39564.58,6000.63,24,0.14,debt_consolidation,employed,519,1.0,1
268,2022-06-23,51,32709.9,25161.62,24,0.1529,car,employed,644,8.71,0
269,2023-09-17,50,35809.92,1914.63,36,0.1224,education,employed,597,1.0,0
270,2023-06-11,62,40341.04,9000.96,36,0.0795,debt_consolidation,employed,658,1.0,1
271,2023-04-30,55,30799.78,13678.49,48,0.0902,debt_consolidation,student,698,8.74,1
272,2022-06-18,27,23047.4,17916.5,24,0.0847,car,self_employed,710,9.02,0
273,2023-08-08,36,28612.25,15878.7,36,0.1112,debt_consolidation,employed,673,4.47,1
274,2023-08-02,46,49341.67,25867.55,48,0.0654,other,employed,602,2.82,1
275,2023-03-06,68,36394.08,11294.41,60,0.0996,home_improvement,employed,672,4.17,0
276,2022-05-12,69,24861.22,6762.1,60,0.0998,debt_consolidation,self_employed,616,3.98,1
277,2022-05-04,22,39818.73,10681.82,48,0.1015,education,employed,764,4.04,0
278,2022-06-23,21,40619.79,10080.14,60,0.0593,car,employed,671,5.12,0
279,2023-01-22,68,41239.99,11590.23,24,0.0974,debt_consolidation,employed,611,5.16,1
280,2022-05-21,32,23265.95,6105.07,24,0.1431,debt_consolidation,employed,616,1.0,0
281,2023-10-10,25,26811.31,16704.34,12,0.0763,home_improvement,self_employed,680,5.3,1
282,2023-03-16,57,26878.05,14224.98,48,0.0978,debt_consolidation,self_employed,683,8.3,1
283,2023-09-06,52,30672.23,4416.72,60,0.0347,debt_consolidation,retired,668,1.0,0
284,2023-01-07,29,41467.03,17808.15,24,0.0976,debt_consolidation,employed,739,2.22,1
285,2022-10-14,61,38554.22,7131.11,36,0.0965,debt_consolidation,self_employed,622,1.0,1
286,2022-04-01,55,39502.6,4903.11,48,0.0935,education,employed,740,3.36,0
287,2022-07-28,39,51248.23,12523.97,60,0.1119,small_business,employed,674,4.77,1
288,2023-07-01,68,43266.69,1452.94,36,0.0816,education,employed,731,1.0,0
289,2023-07-28,36,33298.38,15537.02,60,0.1253,home_improvement,employed,642,3.71,0
290,2022-06-01,23,20793.38,1000.0,24,0.0635,other,employed,726,1.0,1
291,2023-07-31,40,26425.44,5823.82,24,0.1333,debt_consolidation,unemployed,631,2.32,1
292,2022-08-09,44,31859.54,21450.82,36,0.0964,debt_consolidation,employed,778,7.2,0
293,2022-10-27,53,44949.56,7880.04,24,0.0879,car,employed,675,3.47,1
294,2022-12-21,44,34672.02,8930.49,12,0.047,car,retired,654,2.13,0
295,2023-07-17,31,27125.65,19641.99,48,0.0567,car,employed,609,9.77,0
296,2023-09-12,69,26205.29,7242.82,48,0.1005,debt_consolidation,self_employed,690,3.98,1
297,2023-11-17,28,34165.06,16580.63,48,0.0685,debt_consolidation,unemployed,671,2.94,1
298,2022-07-11,56,45679.85,19045.13,24,0.1199,car,employed,599,8.99,0
299,2023-02-14,58,54092.23,14871.18,36,0.0986,other,employed,635,4.45,1
300,2022-12-23,60,32530.78,3330.62,24,0.0472,car,unemployed,562,1.0,0
301,2023-11-10,40,34463.08,8376.08,12,0.1128,debt_consolidation,unemployed,612,1.0,1
302,2022-09-01,55,20432.7,28281.72,36,0.0851,education,employed,672,19.77,1
303,2022-02-27,68,58270.31,9056.86,12,0.0886,debt_consolidation,employed,701,2.22,0
304,2022-01-26,45,18187.97,29917.98,12,0.1213,debt_consolidation,employed,660,20.85,0
305,2023-05-01,55,49059.95,22253.78,48,0.0482,debt_consolidation,unemployed,708,6.22,0
306,2022-04-27,45,30615.97,15114.42,12,0.0563,education,employed,622,8.1,0
307,2022-08-30,49,27807.6,13783.41,60,0.0998,small_business,retired,706,8.21,0
308,2022-08-18,38,21679.96,9211.06,36,0.039,home_improvement,student,675,3.34,0
309,2022-04-03,66,63920.58,11466.52,60,0.0718,debt_consolidation,unemployed,667,3.16,1
310,2022-08-09,38,37657.9,7867.66,12,0.1194,debt_consolidation,self_employed,679,1.0,0
311,2023-12-08,22,35255.37,11618.24,36,0.0867,debt_consolidation,employed,644,1.78,0
312,2023-12-14,55,45640.79,3826.83,24,0.0488,other,employed,587,1.0,0
313,2022-08-15,36,27190.01,3505.37,48,0.0957,home_improvement,employed,617,1.0,0
